ICAO aircraft type designator,description,aircraft_model,role,engine_type,Engines
FB1A,Landplane,Bowers Fly Baby 1A,General Aviation,Piston,1
FB1B,Landplane,Bowers Fly Baby 1B,General Aviation,Piston,1
FB5,Landplane,Euro-Fly FB-5 Star Light,Ultralight,Piston,1
FBA2,Landplane,Found FBA-2 Bush Hawk,General Aviation,Piston,1
FBIR,Landplane,Freewing Freebird Mk5,_unknown_,Piston,1
FC1,Landplane,Chengdu FC-1 Xiaolong,Fighter,Jet,1
FDCT,Landplane,Flight Design CT,Ultralight,Piston,1
FDMC,Landplane,Flight Design MC,Ultralight,Piston,1
FE51,Landplane,Fighter Escort Wings P-51,Fighter,Piston,1
FEST,Landplane,Aerostar R40S Festival,Ultralight,Piston,1
FFLY,Landplane,Fairey Firefly,Fighter,Piston,1
FG01,Landplane,Farigoux FG-01 Origan,_unknown_,Piston,1
FGT,Landplane,Midwest Aerosport Formula GT,_unknown_,Piston,1
FH11,Helicopter,Fairchild Hiller FH-1100,Helicopter,Turboprop,1
FIBO,Landplane,Starfire Firebolt Convertible,General Aviation,Piston,1
FIKD,Landplane,Fike D,General Aviation,Piston,1
FIKE,Landplane,Fike E,General Aviation,Piston,1
FINC,Landplane,Fleet 16 Finch,General Aviation,Piston,1
FJ10,Landplane,Aerostar FJ-100,Business Jet,Jet,2
FJR3,Landplane,Fajr F.3,General Aviation,Piston,1
FK12,Landplane,B & F Technik FK-12 Comet,Ultralight,Piston,1
FK14,Landplane,B & F Technik FK-14 Polaris,Ultralight,Piston,1
FK9,Landplane,B & F Technik FK-9,Ultralight,Piston,1
FL3,Landplane,Avia L-3 Aviastarlet,General Aviation,Piston,1
FL53,Landplane,Meteor FL-53,General Aviation,Piston,1
FL54,Landplane,Meteor FL-54,General Aviation,Piston,1
FL55,Landplane,Meteor FL-55,General Aviation,Piston,1
FLAM,Landplane,Dassault MD-315 Flamant,Other military,Piston,2
FLE2,Landplane,Fleet 2,General Aviation,Piston,1
FLE7,Landplane,Fleet 7 Fawn,General Aviation,Piston,1
FLIZ,Landplane,Flitzer Z-1 Flitzer,_unknown_,Piston,1
FLSH,Landplane,Euro-Fly Flash,Ultralight,Piston,1
FLSS,Landplane,Kolb Flyer SS,Ultralight,Piston,1
FM25,Landplane,Flying Machines FM-250 Vampire,Ultralight,Piston,1
FN33,Amphibian,Nardi FN-333 Riviera,General Aviation,Piston,1
FNKB,Landplane,Funk B,General Aviation,Piston,1
FOOF,Landplane,Stewart JD-2 Foo Fighter,General Aviation,Piston,1
FORT,Landplane,Fleet 60 Fort,Military Trainer,Piston,1
FOUG,Landplane,Fouga CM.170 Magister,Military Trainer,Jet,2
FOX,Landplane,Denney Kitfox,General Aviation,Piston,1
FOXT,Landplane,Team Tango Foxtrot-4,General Aviation,Piston,1
FREE,Landplane,CEI RC-412 Free Spirit,General Aviation,Piston,1
FREL,Helicopter,Aerospatiale SA321 Super Frelon,Helicopter,Turboprop,3
FRNT,Landplane,Sky Raider Frontier,Ultralight,Piston,1
FRON,Landplane,Frontier Frontier MD-2,General Aviation,Piston,1
FS51,Landplane,Falconar SAL P-51D Mustang,General Aviation,Piston,1
FT30,Landplane,NAI FT-300,_unknown_,Piston,1
FU24,Landplane,Fletcher FU-24,Agricultural,Piston,1
FURY,Landplane,Hawker Sea Fury,Fighter,Piston,1
FW19,Landplane,Four Winds 192,_unknown_,Piston,1
FW21,Landplane,Four Winds FX-210,_unknown_,Piston,1
FW44,Landplane,Focke-Wulf Fw-44 Stieglitz,General Aviation,Piston,1
FW90,Landplane,Focke-Wulf Fw 190 Würger,Fighter,Piston,1
G1,Landplane,G1 Aviation G-1,Ultralight,Piston,2
G103,Landplane,Grob G-103 Twin Astir,Glider,No engine,0
G109,Landplane,Grob G-109,Motor-Glider,Piston,1
G115,Landplane,Grob G-115,General Aviation,Piston,1
G120,Landplane,Grob G-120,General Aviation,Piston,1
G12T,Landplane,Grob G-120TP,General Aviation,Turboprop,1
G140,Landplane,Grob G-140TP,General Aviation,Turboprop,1
G150,Landplane,Gulfstream Aerospace Gulfstream G150,Business Jet,Jet,2
G159,Landplane,Grumman G-159 Gulfstream 1,Passenger Airliner,Turboprop,2
G15T,Landplane,Grob G-115T Acro,General Aviation,Piston,1
G160,Landplane,Grob G-160 Ranger,General Aviation,Turboprop,1
G164,Landplane,Grumman G-164 Ag-Cat,Agricultural,Piston,1
G180,Landplane,General Aircraft G1-80 Skyfarer,General Aviation,Piston,1
G200,Landplane,Giles G-200,General Aviation,Piston,1
G202,Landplane,Giles G-202,General Aviation,Piston,1
G21,Amphibian,Grumman G-21 Goose,Passenger Airliner,Piston,2
G21M,Amphibian,Mckinnon G-21C Goose,Passenger Airliner,Piston,4
G21T,Amphibian,Mckinnon G-21E Turbo Goose,Passenger Airliner,Turboprop,2
G222,Landplane,Aeritalia G.222,Military Cargo,Turboprop,2
G250,Landplane,Gulfstream Aerospace Gulfstream G250,Business Jet,Jet,2
G280,Landplane,Gulfstream Aerospace Gulfstream G280,Business Jet,Jet,2
G2CA,Helicopter,Guimbal G-2 Cabri,Helicopter,Piston,1
G2GL,Landplane,SOKO G-2 Galeb,Military Trainer,Jet,1
G2T1,Landplane,Great Lakes 2T-1 Sport Trainer,General Aviation,Piston,1
G3,Landplane,Remos G-3 Mirage,Ultralight,Piston,1
G300,Landplane,Giles G-300,_unknown_,Piston,1
G44,Amphibian,Grumman G-44 Widgeon,General Aviation,Piston,2
G46,Landplane,Fiat G.46,Military Trainer,Piston,1
G4SG,Landplane,SOKO G-4 Super Galeb,Military Trainer,Jet,1
G59,Landplane,Fiat G.59,Fighter,Piston,1
G64T,Landplane,Grumman G-164 Turbo Ag-Cat,Agricultural,Turboprop,1
G73,Amphibian,Grumman G-73 Mallard,Passenger Airliner,Piston,2
G73T,Amphibian,Grumman G-73T Turbo Mallard,Passenger Airliner,Turboprop,2
G800,Landplane,Grinvalds G-801 Orion,General Aviation,Piston,1
G850,Landplane,Grob G-850 Strato 2C,General Aviation,Piston,2
G96,Landplane,Grumman G-96 Trader,_unknown_,Piston,2
G97,Landplane,SAI G-97 Spotter,_unknown_,Piston,1
GA10,Landplane,GippsAero GA-10 Airvan,General Aviation,Turboprop,1
GA20,Landplane,Gippsland GA-200 Fatman,Agricultural,Piston,1
GA5C,Landplane,Gulfstream G-7 G500,Business Jet,Jet,2
GA6C,Landplane,Gulfstream G-7 G600,Business Jet,Jet,2
GA7,Landplane,Grumman American GA-7 Cougar,General Aviation,Piston,2
GA8,Landplane,Gippsland GA-8 Airvan,Passenger Airliner,Piston,1
GALX,Landplane,Gulfstream G200 (IAI Galaxy),Business Jet,Jet,2
GANT,Landplane,Fairey Gannet,Bomber,Turboprop,1
GAUN,Landplane,Gloster Gauntlet,Fighter,Piston,1
GAVI,Landplane,Gavilan EL-1 Gavilan 358,General Aviation,Piston,1
GAZL,Helicopter,Aerospatiale SA341 Gazelle,Helicopter,Turboprop,1
GBSP,Landplane,Beets GB Special,General Aviation,Piston,1
GC1,Landplane,Globe GC-1 Swift,General Aviation,Piston,1
GDUK,Amphibian,Ellison-Mahon Gweduck,General Aviation,Piston,2
GEMI,Landplane,Miles M.65 Gemini,General Aviation,Piston,2
GENI,Landplane,IFB E-Genius,General Aviation,Electric,1
GEPE,Landplane,Aero Services Guepe,Ultralight,Piston,1
GF20,Landplane,Grob GF-200,General Aviation,Piston,1
GFLY,Landplane,Scaled Composites 311 Global Flyer,General Aviation,Jet,1
GL5T,Landplane,Bombardier BD-700 Global 5000,Business Jet,Jet,2
GLAD,Landplane,Gloster Gladiator,Fighter,Piston,1
GLAS,Landplane,Glasair,General Aviation,Piston,1
GLEX,Landplane,Bombardier Global Express,Business Jet,Jet,2
GLF2,Landplane,Gulfstream American G-1159 Gulfstream 2,Business Jet,Jet,2
GLF3,Landplane,Gulfstream Aerospace G-1159A Gulfstream 3,Business Jet,Jet,2
GLF4,Landplane,Gulfstream G350/400/450 (GIV/GIVSP),Business Jet,Jet,2
GLF5,Landplane,"Gulfstream G550 (C-37B, GVSP)",Business Jet,Jet,2
GLF6,Landplane,Gulfstream G660,Business Jet,Jet,2
GLSP,Landplane,New Glastar Sportsman 2+2,General Aviation,Piston,1
GLST,Landplane,Glasair GlaStar,General Aviation,Piston,1
GLTU,Landplane,Stoddard-Hamilton Turbine Glasair,General Aviation,Turboprop,1
GM01,Landplane,Yalo GM-01 Gniady,_unknown_,Piston,1
GM17,Landplane,Intracom GM-17 Viper,_unknown_,Turboprop,1
GMGC,Landplane,Ibis Grand Magic,_unknown_,Piston,1
GNAT,Landplane,Folland Fo-144 Gnat,Military Trainer,Jet,1
GOBU,Gyrocopter,Butterfly Golden Butterfly,General Aviation,Piston,1
GOLF,Landplane,Tecnam P96 Golf,General Aviation,Piston,1
GOOS,Amphibian,Quikkit Glass Goose,General Aviation,Piston,1
GOTR,Landplane,Goair GT-1 Trainer,General Aviation,Piston,1
GP1,Landplane,Jihlavan Skyleader GP One,Ultralight,Piston,1
GP3,Amphibian,Osprey GP-3 Osprey 2,General Aviation,Piston,1
GP4,Landplane,Osprey GP-4,General Aviation,Piston,1
GR51,Landplane,Cameron P-51G Grand 51,General Aviation,Turboprop,1
GRAF,Landplane,Lundy Graflite,_unknown_,Piston,1
GRFN,Landplane,Griffon Aero Griffon,_unknown_,Piston,1
GRIF,Landplane,Canada Air Rv Griffin,General Aviation,Piston,1
GRIZ,Landplane,Aerotek Turbo Grizzly,General Aviation,Turboprop,1
GSIS,Landplane,Slipstream Genesis,General Aviation,Piston,1
GSPN,Landplane,Grob G-180 SPn Utility Jet,Business Jet,Jet,2
GUEP,Landplane,Aero Services Guepard,Ultralight,Piston,1
GURI,Landplane,Aeromot AMT-600 Guri,General Aviation,Piston,1
GX,Landplane,Remos GX,General Aviation,Piston,1
GY10,Landplane,Gardan GY-100 Bagheera,General Aviation,Piston,1
GY20,Landplane,CAB GY-20 Minicab,General Aviation,Piston,1
GY30,Landplane,CAB GY-30 Supercab,General Aviation,Piston,1
GY80,Landplane,SOCATA GY-80 Horizon,General Aviation,Piston,1
H111,Landplane,Heinkel He 111,Bomber,Piston,2
H12T,Helicopter,Hiller UH-12ET,Helicopter,Turboprop,1
H160,Helicopter,Airbus Helicopters H-160,Helicopter,Turboprop,2
H2,Helicopter,Kaman SH-2 Seasprite,Military Helicopter,Turboprop,2
H202,Landplane,HB-Aircraft HB-202 Fledger,_unknown_,Piston,1
H204,Landplane,HB Flugtechnik HB-204 Tornado,General Aviation,Piston,1
H207,Landplane,HB Flugtechnik HB-207 Alfa,General Aviation,Piston,1
H21,Helicopter,Vertol CH-21 Work Horse,Military Helicopter,Piston,1
H25A,Landplane,de Havilland DH.125 Jet Dragon,Business Jet,Jet,2
H25B,Landplane,Hawker 750 / 800 / 850 / 900 / XP,Business Jet,Jet,2
H25C,Landplane,British Aerospace BAe-125-1000,Business Jet,Jet,2
H269,Helicopter,Schweizer 300,Helicopter,Piston,1
H40,Landplane,Hoffmann H-40,General Aviation,Piston,1
H43A,Helicopter,Kaman HH-43 Huskie,Helicopter,Piston,1
H43B,Helicopter,Kaman HH-43B Huskie,Helicopter,Turboprop,1
H46,Helicopter,Boeing Vertol CH-46 Sea Knight,Helicopter,Turboprop,2
H47,Helicopter,Boeing Vertol CH-47 Chinook,Helicopter,Turboprop,2
H500,Helicopter,MD Helicopters MD 500,Helicopter,Turboprop,1
H53,Helicopter,Sikorsky CH-53 Sea Stallion,Helicopter,Turboprop,2
H53S,Helicopter,Sikorsky CH-53E Super Stallion,Helicopter,Turboprop,3
H60,Helicopter,Sikorsky S-70,Helicopter,Turboprop,2
H64,Helicopter,Boeing AH-64 Apache,Military Helicopter,Turboprop,2
HA2,Gyrocopter,Hollmann HA-2 Sportster,General Aviation,Piston,1
HA31,Landplane,Hindustan HA-31 Basant,Agricultural,Piston,1
HA4T,Landplane,Hawker 4000,Business Jet,Jet,2
HAHU,Landplane,Sindlinger HH-1 Hawker Hurricane,General Aviation,Piston,1
HAR,Landplane,Hawker Siddeley Harrier,Fighter,Jet,1
HAW3,Gyrocopter,Groen Hawk 3,General Aviation,Piston,1
HAWK,Landplane,BAE Hawk,Military Trainer,Jet,1
HB21,Landplane,Brditschka HB-21 Hobbylifter,Motor-Glider,Piston,1
HB23,Landplane,Brditschka HB-23 Hobbyliner,Motor-Glider,Piston,1
HB3,Landplane,Brditschka HB-3,Motor-Glider,Piston,1
HCAT,Landplane,Grumman F6F Hellcat,Fighter,Piston,1
HD34,Landplane,Hurel-Dubois HD-34,General Aviation,Piston,2
HDJT,Landplane,Honda HA-420 HondaJet,Business Jet,Jet,2
HEAD,Landplane,Stewart JD-1 Headwind,General Aviation,Piston,1
HERN,Landplane,de Havilland DH.114 Heron,Passenger Airliner,Piston,4
HF20,Landplane,Hamburger Flugzeugbau HFB-320 Hansa,Business Jet,Jet,2
HI27,Landplane,Hirth Hi-27 Acrostar,General Aviation,Piston,1
HIGH,Landplane,Just Highlander,General Aviation,Piston,1
HIND,Landplane,Hawker Hind,Bomber,Piston,1
HL2,Landplane,Lambach HL-2 Replica,General Aviation,Piston,1
HLD4,Landplane,Halberstadt D-4 Replica,General Aviation,Piston,1
HM38,Landplane,Mignet HM-380,General Aviation,Piston,1
HN70,Landplane,Nicollier HN-700 Menestrel 2,General Aviation,Piston,1
HORN,Landplane,Wallerkowski Hornisse,_unknown_,Piston,1
HORZ,Landplane,Fisher Horizon,General Aviation,Piston,1
HPTR,Amphibian,Idea Hydropteron,General Aviation,Piston,1
HPZL,Landplane,Historical Aircraft PZL P-11C,General Aviation,Piston,1
HR10,Landplane,Robin HR-100 Royal,General Aviation,Piston,1
HR20,Landplane,Robin HR-200 Acrobin,General Aviation,Piston,1
HRNT,Landplane,AAK Hornet,_unknown_,Piston,1
HROC,Landplane,Harmon Rocket,_unknown_,Piston,1
